occurrence_id,decision_id,unit_id,semantic_unit_id,source_path,source_line_start,source_line_end,source_sha256,target_path,target_line_start,target_line_end,target_sha256,reader_status,printed_page,assembled_pdf_page
jv-Latn-ID-JV-T001-OCC-001,JV-T001,OLP-0001,OLP-0001-P002,upstream/content/open-logic-about.tex,5,9,f1212d77679b9080a2cbf1ba03f9b71f0993db10b1b28464c423652f95b5fd33,translation/content/open-logic-about.tex,6,6,85526ca61d37a3a6a66ad783cb35e77e732f6a3ad417c36c9b2200509229d106,pending,,
jv-Latn-ID-JV-T002-OCC-001,JV-T002,OLP-0001,OLP-0001-P002,upstream/content/open-logic-about.tex,5,9,f1212d77679b9080a2cbf1ba03f9b71f0993db10b1b28464c423652f95b5fd33,translation/content/open-logic-about.tex,6,6,85526ca61d37a3a6a66ad783cb35e77e732f6a3ad417c36c9b2200509229d106,pending,,
jv-Latn-ID-JV-T003-OCC-001,JV-T003,OLP-0004,OLP-0004-P004,upstream/content/sets-functions-relations/sets/sets.tex,8,8,98a8964a95d72ab3004decdef3ee74f1dd1f221dd06dfc0e6d44eff52104f277,translation/content/sets-functions-relations/sets/sets.tex,8,8,a363c40c13928b49e4b3937c047cdb024897849d501a395ea0bd6509167fc1f8,pending,,
jv-Latn-ID-JV-T004-OCC-001,JV-T004,OLP-0005,OLP-0005-P005,upstream/content/sets-functions-relations/sets/basics.tex,12,17,232ff51f51e74fcfee836650f3c597b54bf10ba5363c648a0c05fe8222e4a865,translation/content/sets-functions-relations/sets/basics.tex,14,14,286ae2b34806efbcfc6163777624e1115c15c2497251e8b462b93bd86e86c9f9,pending,,
jv-Latn-ID-JV-T004-OCC-002,JV-T004,OLP-0005,OLP-0005-P005,upstream/content/sets-functions-relations/sets/basics.tex,12,17,232ff51f51e74fcfee836650f3c597b54bf10ba5363c648a0c05fe8222e4a865,translation/content/sets-functions-relations/sets/basics.tex,13,13,286ae2b34806efbcfc6163777624e1115c15c2497251e8b462b93bd86e86c9f9,pending,,
jv-Latn-ID-JV-T005-OCC-001,JV-T005,OLP-0005,OLP-0005-P004,upstream/content/sets-functions-relations/sets/basics.tex,9,10,232ff51f51e74fcfee836650f3c597b54bf10ba5363c648a0c05fe8222e4a865,translation/content/sets-functions-relations/sets/basics.tex,10,10,286ae2b34806efbcfc6163777624e1115c15c2497251e8b462b93bd86e86c9f9,pending,,
jv-Latn-ID-JV-T006-OCC-001,JV-T006,OLP-0006,OLP-0006-P004,upstream/content/sets-functions-relations/sets/subsets.tex,9,10,63d819c246577b3bfd8ba2a933f114b58c6549bdc4fa6ea8ffa8ab07c7fed4b7,translation/content/sets-functions-relations/sets/subsets.tex,10,10,08c140fad2bc2fdb10bf07ad6962715f58dbcaafaabfa57ef9cc76be71087842,pending,,
jv-Latn-ID-JV-T007-OCC-001,JV-T007,OLP-0006,OLP-0006-P006,upstream/content/sets-functions-relations/sets/subsets.tex,19,25,63d819c246577b3bfd8ba2a933f114b58c6549bdc4fa6ea8ffa8ab07c7fed4b7,translation/content/sets-functions-relations/sets/subsets.tex,25,25,08c140fad2bc2fdb10bf07ad6962715f58dbcaafaabfa57ef9cc76be71087842,pending,,
jv-Latn-ID-JV-T008-OCC-001,JV-T008,OLP-0006,OLP-0006-P004,upstream/content/sets-functions-relations/sets/subsets.tex,9,10,63d819c246577b3bfd8ba2a933f114b58c6549bdc4fa6ea8ffa8ab07c7fed4b7,translation/content/sets-functions-relations/sets/subsets.tex,9,10,08c140fad2bc2fdb10bf07ad6962715f58dbcaafaabfa57ef9cc76be71087842,pending,,
jv-Latn-ID-JV-T009-OCC-001,JV-T009,OLP-0005,OLP-0005-P007,upstream/content/sets-functions-relations/sets/basics.tex,26,30,232ff51f51e74fcfee836650f3c597b54bf10ba5363c648a0c05fe8222e4a865,translation/content/sets-functions-relations/sets/basics.tex,27,27,286ae2b34806efbcfc6163777624e1115c15c2497251e8b462b93bd86e86c9f9,pending,,
jv-Latn-ID-JV-T010-OCC-001,JV-T010,OLP-0005,OLP-0005-P005,upstream/content/sets-functions-relations/sets/basics.tex,12,17,232ff51f51e74fcfee836650f3c597b54bf10ba5363c648a0c05fe8222e4a865,translation/content/sets-functions-relations/sets/basics.tex,16,16,286ae2b34806efbcfc6163777624e1115c15c2497251e8b462b93bd86e86c9f9,pending,,
jv-Latn-ID-JV-T011-OCC-001,JV-T011,OLP-0005,OLP-0005-P014,upstream/content/sets-functions-relations/sets/basics.tex,98,101,232ff51f51e74fcfee836650f3c597b54bf10ba5363c648a0c05fe8222e4a865,translation/content/sets-functions-relations/sets/basics.tex,101,101,286ae2b34806efbcfc6163777624e1115c15c2497251e8b462b93bd86e86c9f9,pending,,
jv-Latn-ID-JV-T012-OCC-001,JV-T012,OLP-0031,OLP-0031-P013,upstream/content/sets-functions-relations/size-of-sets/pairing.tex,79,84,fb6cc1176e91e56cea5f5b9708723c59191813f8fe256aac8ed0457a0119a9bf,translation/content/sets-functions-relations/size-of-sets/pairing.tex,80,80,b766c4a116aba8a91e807ea82a9078112fa9cd0196247fa4af114ae689f61804,pending,,
jv-Latn-ID-JV-T013-OCC-001,JV-T013,OLP-0007,OLP-0007-P005,upstream/content/sets-functions-relations/sets/important-sets.tex,12,27,ec2115fa48ea6c6684a65bdf2f504102ca0a74b40cf88293dfc12f4ab97ada02,translation/content/sets-functions-relations/sets/important-sets.tex,18,18,dd1c24aa0812ba695c1b8a5cd5c4899b99c0e99abff9f1313048fc80e558ea2d,pending,,
jv-Latn-ID-JV-T014-OCC-001,JV-T014,OLP-0007,OLP-0007-P005,upstream/content/sets-functions-relations/sets/important-sets.tex,12,27,ec2115fa48ea6c6684a65bdf2f504102ca0a74b40cf88293dfc12f4ab97ada02,translation/content/sets-functions-relations/sets/important-sets.tex,20,20,dd1c24aa0812ba695c1b8a5cd5c4899b99c0e99abff9f1313048fc80e558ea2d,pending,,
jv-Latn-ID-JV-T015-OCC-001,JV-T015,OLP-0007,OLP-0007-P005,upstream/content/sets-functions-relations/sets/important-sets.tex,12,27,ec2115fa48ea6c6684a65bdf2f504102ca0a74b40cf88293dfc12f4ab97ada02,translation/content/sets-functions-relations/sets/important-sets.tex,22,22,dd1c24aa0812ba695c1b8a5cd5c4899b99c0e99abff9f1313048fc80e558ea2d,pending,,
jv-Latn-ID-JV-T015-OCC-002,JV-T015,OLP-0007,OLP-0007-P005,upstream/content/sets-functions-relations/sets/important-sets.tex,12,27,ec2115fa48ea6c6684a65bdf2f504102ca0a74b40cf88293dfc12f4ab97ada02,translation/content/sets-functions-relations/sets/important-sets.tex,24,24,dd1c24aa0812ba695c1b8a5cd5c4899b99c0e99abff9f1313048fc80e558ea2d,pending,,
jv-Latn-ID-JV-T016-OCC-001,JV-T016,OLP-0007,OLP-0007-P008,upstream/content/sets-functions-relations/sets/important-sets.tex,45,60,ec2115fa48ea6c6684a65bdf2f504102ca0a74b40cf88293dfc12f4ab97ada02,translation/content/sets-functions-relations/sets/important-sets.tex,50,50,dd1c24aa0812ba695c1b8a5cd5c4899b99c0e99abff9f1313048fc80e558ea2d,pending,,
jv-Latn-ID-JV-T016-OCC-002,JV-T016,OLP-0007,OLP-0007-P005,upstream/content/sets-functions-relations/sets/important-sets.tex,12,27,ec2115fa48ea6c6684a65bdf2f504102ca0a74b40cf88293dfc12f4ab97ada02,translation/content/sets-functions-relations/sets/important-sets.tex,26,26,dd1c24aa0812ba695c1b8a5cd5c4899b99c0e99abff9f1313048fc80e558ea2d,pending,,
