decision_id,record_type,occurrence_index,unit_id,section,source_path,source_line,target_path,target_line_start,target_line_end,segment_id,script,locale,chosen_rendering,decision_status,review_priority,accepted_reader_release,accepted_pdf_page,page_binding_status,expert_question
JV-T001,terminology_decision,1,OLP-0001,open-logic-about,upstream/content/open-logic-about.tex,1,translation/content/open-logic-about.tex,6,6,,Latn,jv-Latn-ID,logika,attested,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “logika” clear and idiomatic for the constrained sense “logic”, or should one of these be preferred: nalar?"
JV-T002,terminology_decision,1,OLP-0001,open-logic-about,upstream/content/open-logic-about.tex,7,translation/content/open-logic-about.tex,6,6,,Latn,jv-Latn-ID,logika formal,attested,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “logika formal” clear and idiomatic for the constrained sense “formal logic”, or should one of these be preferred: nalar formal, logika resmi?"
JV-T003,terminology_decision,1,OLP-0004,sets-functions-relations/sets/sets,upstream/content/sets-functions-relations/sets/sets.tex,1,translation/content/sets-functions-relations/sets/sets.tex,8,8,,Latn,jv-Latn-ID,himpunan,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “himpunan” clear and idiomatic for the constrained sense “set”, or should one of these be preferred: kumpulan, set?"
JV-T004,terminology_decision,1,OLP-0005,sets-functions-relations/sets/basics,,,translation/content/sets-functions-relations/sets/basics.tex,14,14,,Latn,jv-Latn-ID,anggota; unsur (definitional synonym),provisional_specialization,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “anggota; unsur (definitional synonym)” clear and idiomatic for the constrained sense “element/member”, or should one of these be preferred: unsur, elemen?"
JV-T004,terminology_decision,2,OLP-0005,sets-functions-relations/sets/basics,,,translation/content/sets-functions-relations/sets/basics.tex,13,13,,Latn,jv-Latn-ID,anggota; unsur (definitional synonym),provisional_specialization,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “anggota; unsur (definitional synonym)” clear and idiomatic for the constrained sense “element/member”, or should one of these be preferred: unsur, elemen?"
JV-T005,terminology_decision,1,OLP-0005,sets-functions-relations/sets/basics,upstream/content/sets-functions-relations/sets/basics.tex,10,translation/content/sets-functions-relations/sets/basics.tex,10,10,,Latn,jv-Latn-ID,ekstensionalitas,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “ekstensionalitas” clear and idiomatic for the constrained sense “extensionality”, or should one of these be preferred: prinsip kesamaan anggota, ekstensualitas?"
JV-T006,terminology_decision,1,OLP-0006,sets-functions-relations/sets/subsets,upstream/content/sets-functions-relations/sets/subsets.tex,3,translation/content/sets-functions-relations/sets/subsets.tex,10,10,,Latn,jv-Latn-ID,subhimpunan,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “subhimpunan” clear and idiomatic for the constrained sense “subset”, or should one of these be preferred: bagean himpunan, subset?"
JV-T007,terminology_decision,1,OLP-0006,sets-functions-relations/sets/subsets,upstream/content/sets-functions-relations/sets/subsets.tex,24,translation/content/sets-functions-relations/sets/subsets.tex,25,25,,Latn,jv-Latn-ID,subhimpunan sejati,provisional_specialization,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “subhimpunan sejati” clear and idiomatic for the constrained sense “proper subset”, or should one of these be preferred: subhimpunan murni?"
JV-T009,terminology_decision,1,OLP-0005,sets-functions-relations/sets/basics,,,translation/content/sets-functions-relations/sets/basics.tex,27,27,,Latn,jv-Latn-ID,yen lan mung yen,provisional_composition,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “yen lan mung yen” clear and idiomatic for the constrained sense “if and only if”, or should one of these be preferred: yen lan kosok baline, yen wae?"
JV-T010,terminology_decision,1,OLP-0005,sets-functions-relations/sets/basics,upstream/content/sets-functions-relations/sets/basics.tex,16,translation/content/sets-functions-relations/sets/basics.tex,16,16,,Latn,jv-Latn-ID,kosong,provisional_specialization,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “kosong” clear and idiomatic for the constrained sense “empty”, or should one of these be preferred: sepi, tanpa anggota?"
